,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
970,55350b62-932d-43c4-92a4-601ef1c78007,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
971,228da276-4dc2-4d7e-8ae5-1b74a0db7737,,,,3,,,1,,,,,,,,Doutorado,,5,1,2,1,,,1,,,2013,498cadc8-b8f6-4008-902e-76281109187d,0.75
972,9e73c552-03d2-4e04-821d-f08eb709fd03,,,,1,1,1,1,3,,,1,4,5,1,Doutorado,,,,,,,,4,,,2007,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,5.25
973,c08f531c-fcd3-45e0-a2cc-52ceac6487b6,,,,,,,,,,,,,,,Especialização,,,,,,,,2,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
974,4c46f152-e0a2-4b67-be91-ddc3ec9bcb7b,,,,,,,,,,,,,,,Graduação,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281109187d,0.0
975,fae453d8-df86-41ed-a0d0-f4c0a5becd03,1,,,2,6,7,2,3,,,,,,1,Doutorado,3,13,2,13,11,9,,3,,,2006,08aa6e17-f9ae-4979-a399-5b32a506a15e,15.5
976,91cc83d0-6e05-49c6-a188-aed3979f31a3,,,,,3,,,,,,,,,1,Pós-Doutorado,1,2,1,6,,,,4,,,2010,08aa6e17-f9ae-4979-a399-5b32a506a15e,3.0
977,408dc6ab-386e-411f-9194-cc51f679261d,,,,,,,,,,1,,,1,,Mestrado,,,,,,,,5,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.37
978,fda18809-8519-45c8-8ed4-a3d22ee84210,,,,7,,,1,,,,4,1,,,Pós-Doutorado,,,7,22,,,,,,1,1996,08aa6e17-f9ae-4979-a399-5b32a506a15e,1.875
979,2a360222-f4be-4d67-bd91-a58ae84b5e61,,,,,3,2,1,,,,,,,,Pós-Doutorado,,,,,,,,,,,2015,498cadc8-b8f6-4008-902e-76281109187d,5.5
