,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,ind_prod
79,3149d7f4-7637-476e-bb38-9cf4197c8ea4,,,,,,,,,1,,,,,,Especialização,,,,,,,,,,,0.5
80,161fab0d-bcfa-4a7f-b578-225231c207a0,,,,9,,1,1,,2,,,1,,,Pós-Doutorado,1,2,2,3,,,,13,,,2.75
81,ca40309f-5394-40bf-b4c6-d148f763b875,,,,,,,,,,,,,,,Doutorado,,,,,,,,1,,,0.0
82,5f1b6320-8ba6-415a-9ff4-5029f1b3f709,,,,,,,,1,,,,,2,,Mestrado,,,,,,,,10,,,0.625
83,73da4c69-200a-4187-b3aa-393e61142283,,,,,,,,,,,,,,,Mestrado,,,,,,,,1,,,0.0
84,2a29d173-698a-44ee-be3f-2bc49c6a2aad,,,,2,,,,,,,,,,,Doutorado,,,,,,,,7,,2,0.0
85,2e273f65-55ff-4c3d-92e8-a4d8d4df0429,,,,,,,,1,5,,,1,2,6,Doutorado,4,7,,,,,,11,,8,3.25
86,1134aac4-9c06-4723-bed8-88d4d912f506,,,,5,,,1,,1,,,,1,3,Pós-Doutorado,3,14,,,,,,16,,,1.25
87,ae6e63b6-3d23-4c6f-a401-ed5b7bf80028,,,,2,,1,,1,1,,,,,1,Doutorado,1,1,5,,,,,7,,6,2.0
88,5ab1d90b-c1cb-4645-8042-84b749fd5082,,,,,,,,,,,,,,,Mestrado,,,,,,,,12,,,0.0
89,89843e58-a00b-41e1-8b82-25cb83d94df4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
90,c391594f-5373-4bd6-a8e2-e6acb7abbd5e,,,,,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
91,25f72bfa-1d66-4e05-955d-cead87dafdd3,,1,,,1,,,,,1,1,,,1,Doutorado,3,3,,,,,,15,,,1.62
92,f0743741-8ae9-4fe4-806e-61b7abb84f4a,,,,,,,,,,1,1,,,,Doutorado,,,,,,,,2,,,0.62
93,170e64b9-30f7-4308-b133-dc52e054b696,,,,,,,,,,,,,,,Mestrado,,,,,,,,10,,1,0.0
94,38e2e085-e758-4e80-a319-9952e30daa28,,,,1,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
95,ce25fcb6-75d5-49c1-9ec5-dc51a3cb762a,,,,4,,,,,,,,,,,Doutorado,4,10,,,,,,9,,2,0.0
96,a47ae78b-59af-4a85-bd50-c8749dd3c600,,,,2,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
97,8e3ffd0b-3e8b-419e-a128-decd47ccecf9,,,,,,,,,,,,,,,Doutorado,,,,,,,,5,,,0.0
98,dc0032dc-7f66-4d49-8f93-be93fc4fdb0e,,,,4,1,2,,,,,,,,,Pós-Doutorado,,,1,1,,,,,,,2.75
99,c841fc71-0570-48e3-997c-ce035eb5e5e6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
100,ded795d0-e612-4a8f-94ba-195e78447fe5,,,,,,,2,1,1,3,1,,2,1,Doutorado,2,8,2,3,,,,,,,3.985
101,a092bb73-44fd-44ae-b48e-6ec3799e5a03,,,,2,,,,,,,,,,,Doutorado,,,,,,,,2,,,0.0
102,63302ca3-3f90-42b0-ba98-720df6942665,1,,,,,,,,,,,,9,,Doutorado,,,,,,,,2,,,0.0
103,f3df04c3-2326-4f43-a7a8-348645943a5a,,,,,,,,,,2,,,1,,Doutorado,,2,,,,,,6,,10,0.74
104,7007b225-2a0b-46ab-b640-382ea5e99569,,,,2,,,,,,,,,,,Doutorado,,,,,,,,10,,,0.0
105,a5d93eee-fd8d-486e-b8b3-bfda7afa8171,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
106,a8085174-18b0-4ae8-872d-3af58c049b8a,,,,,,,,,,,,,,,Especialização,,,,,,,,,,,0.0
107,fba60e00-660d-4cba-b288-b106352638c9,,,,,,,,,,,,,,,Mestrado,1,1,,,,,,2,,,0.0
108,617f7cfd-2a27-45ac-a8a3-18e63ad0169f,,,,,,1,,,,,,,,,Doutorado,2,5,,,,,,,,,0.875
109,e15fe904-3de6-41e2-a5bb-ec5b43e17523,,,,,,,,,,,,,,,Doutorado,,,,,,,,1,,1,0.0
110,5b1d0a05-a754-4485-ada4-8e4dcd671370,,,,,,,,,,,,,,,Mestrado,,,,,,,,3,,,0.0
111,cd94b094-de66-41ad-9d65-ff8b44077bd3,,,,,,,,,1,,1,,,,Mestrado,1,1,,,,,,,,,0.75
112,d455c82c-a00b-4423-a091-e061c825a2dd,,,,,5,3,1,,1,2,1,,2,1,Doutorado,3,20,2,9,3,2,,7,,,9.865
113,0cc25f05-fc1c-4404-aea9-4a0024cd530f,,,,,,,,1,1,,2,,2,1,Doutorado,,,,,,,,24,,,1.625
114,132c24bc-3419-4adc-9bae-4c89165bd3e3,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
115,d9c53546-7166-48a6-ba71-7ce0ed4696bf,,,,2,,,1,,,,,,1,,Doutorado,,2,3,4,,,,20,,4,0.75
116,7ddeda61-3a37-49b7-8f79-871b0c5a5107,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
117,4896d7ca-66cc-4042-bc07-ff46f3d1a2de,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
118,771386c4-9644-47c9-8ab1-013c48474c67,,,,,,,,,,,1,,,,Mestrado,,,,,,,,,,,0.25
119,1b512552-2f50-4d58-8cfc-fd1570c8bf84,,,,10,,,,,,,,,,,Doutorado,,,,,,,,10,,,0.0
120,691e7bf9-4743-4538-be57-0fc22458f1bd,,1,,1,,,,,,1,1,1,,,Pós-Doutorado,1,14,,,,,,12,,3,0.745
121,d00bfae9-39f1-4e31-9e59-e50bf8ea35a7,,,,,,,,,,,,,,,Mestrado,,,,,,,,1,,,0.0
122,302b262c-5ec8-4bed-8b4d-5c1c49abf41c,,,,,,,,,,,,,,,Especialização,,,,,,,,,,,0.0
123,58218c70-ca3a-45de-bab7-6748df277ab8,,,,,,,,,,,,,5,,Doutorado,,,,,1,,,5,,7,0.0
124,bec86672-2d70-4a20-b1ac-3b81441a70a8,,,,,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
125,2e533b02-e91a-4cd2-9f01-637f5b83c1d0,,,,,,3,,1,1,,,,,,Doutorado,2,14,8,2,,,,10,,2,3.75
126,246fab1c-9744-415c-a66a-d5fb9347b51b,,,,1,,1,,,,2,,,,,Mestrado,2,2,,,,,,1,,,1.615
127,6ae88bc1-931f-4399-ab98-05dbd94446a3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
128,11ef200f-ce5a-4889-a002-ff29c7e4fd67,,,,2,,,,,,,,,,,Doutorado,,,,1,,,,,,,0.0
