,researcher_id,institution_id,modality_code,modality_name,category_level_code,funding_program_name,aid_quantity,scholarship_quantity
121,8da73e03-6755-4a47-9fa1-913a77f8a8d5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
122,65b7135b-65b0-4bcf-a9ff-16c7d0d060a6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
123,65b7135b-65b0-4bcf-a9ff-16c7d0d060a6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
124,7ab0bc2a-56e9-4f41-ac2d-41a14976fb17,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
125,7ab0bc2a-56e9-4f41-ac2d-41a14976fb17,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
126,01d6da46-eb6b-4f78-85e3-414d53fb652b,083a16f0-cccf-47d2-a676-d10b8931f66b,DT,Produtividade Desen. Tec. e Extensão Inovadora,2,Programa Tecnológico Social,,1
127,01d6da46-eb6b-4f78-85e3-414d53fb652b,083a16f0-cccf-47d2-a676-d10b8931f66b,DT,Produtividade Desen. Tec. e Extensão Inovadora,2,Programa Tecnológico Social,,1
128,e70e6d0f-64e9-40b7-bed2-3b6ad18d8509,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
129,e70e6d0f-64e9-40b7-bed2-3b6ad18d8509,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
130,76b09474-7364-4747-89d1-13b858a84a24,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
131,76b09474-7364-4747-89d1-13b858a84a24,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
132,006386a0-c2c6-42e6-92e7-2efb56bf6cc2,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
133,006386a0-c2c6-42e6-92e7-2efb56bf6cc2,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
134,1530ecdb-0463-47f6-9b30-a3ea6bdc664b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
135,1530ecdb-0463-47f6-9b30-a3ea6bdc664b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
136,4181896e-8a2e-46f0-9d05-4536c14e9312,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
137,4181896e-8a2e-46f0-9d05-4536c14e9312,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
138,2bce8067-87ea-4998-bdeb-fd852900895f,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
