,city_id,name
117,893e1cc8-e9a0-44ac-88fe-7d7b2c8c7883,Frei Paulo
118,ef05a43b-9c1e-42a1-9fbf-41a597821118,Florianópolis
119,6807c320-893d-407d-9ed6-29d82e28e9a0,Palmares
120,6f484c41-f65c-4916-aced-251aee85c401,Curitiba
121,9bffa77f-e940-4f82-98c5-2cb7692bd337,Marília
122,e6983e59-3f60-4871-a1b4-aa34e44ee578,Riachuelo
123,43ca31b8-ab8a-49cc-869e-294de96efcff,Coaraci
124,e28ee4c5-12fd-4845-b665-4fb660124a7a,Conselheiro Lafaiete
125,bdc2e3c5-7094-47df-a2f4-b93e5e68aab2,Seabra
126,984cb79e-c59c-419e-944a-ce3986ddda5b,Caxias Do Sul
127,6639e81d-38ec-4f52-a722-9c784301d6ba,Guará
128,b535f975-1053-4b06-ab14-21febef38793,Santo Antônio De Jesus
129,450cfe19-0d94-4749-927f-c866f8d24e66,Santo Antonio De Tauá
130,a73b0a05-bcac-499e-a41a-710cc3e904ff,Coxilha
131,e8cc0021-9511-4bbe-aa5f-1cb6228ceae8,Inhambupe
132,e76d52c9-b7ee-4d4a-a2c1-7e3e5e99b03f,Boa Ventura
133,74218aa7-26cb-46dc-912c-3278e22cf548,Candiba
134,ecb42a41-d2ed-4b4d-8e37-e1ac4603f67c,Aracruz
135,6295be82-9188-4482-b7ff-ecdff608bb0c,Colatina
136,4154bd56-ce79-483f-9e0d-eb7a960f9010,São Miguel Do Araguaia
137,029bd3a5-ed4e-4edb-a374-e643745817f9,Ipuiuna
138,078abbaa-e1ce-4f2d-890d-a634057b77cb,Itajiba
139,9020106e-f2e0-4499-901b-b29f0396fa0e,Montes Claros
140,f63d3291-9cf3-4a25-994b-b2414f137f38,Rio Do Antonio
141,de5d132f-654a-4eba-8157-3e234a9f30fc,Ribeira Do Pombal
142,2e5f18da-df1a-4ce2-acc5-6670c001caf9,Maceió
143,0db35ba3-f7e8-4a3e-86b9-0105eb52129b,Jequitinhonha
144,a9b6222f-ad99-4bd2-9489-9958607eff80,Santo Anastácio
145,695615f4-4d98-451c-8ab0-225958402f6f,Passos
146,12d2d61c-33a0-4179-b0e9-5e2f2f6afd1a,Llhéus
147,df2a8d89-afc6-4470-a75d-073bb4dbe23f,Rio Negro
148,07915946-293b-4f45-8ed2-b2f1682a62a4,Mato Verde
149,d200c9ec-3ca6-43c0-abbd-62da782bdb20,Santo Amaro Da Purificação
150,0093fc13-587c-443c-a6ad-5ee17d7f068b,Condeúba
151,996470ea-7f41-4077-8147-0a53f5b35819,Glória
152,aa816ae5-5fd5-4121-80ac-4f0a51c86381,Jequé
153,94be0a94-0a74-4614-9c72-d5921693e956,Caravelas
154,0a63b9cd-7dda-4cb7-bbf0-3aaa292621a0,Petrolina
155,eb62fdea-e713-4f18-b29f-d0fbc5046b27,Aracaju
156,ed8e30ab-b3fa-4dbd-acef-cad78bb01b68,Ibicaraí
157,82b868e8-2b15-4313-b69f-779145c626aa,Barbalha
158,1d33c0fa-15db-41b6-9a1b-31653c9716b1,Barreiras
159,2da72c46-82c3-4a77-942e-cf3b74739d38,Blumenau
160,b3b875b3-6623-40b0-a309-1be019c15f39,Queimadas
161,360ba7e2-cca6-41f5-8bd6-3c55a63fae22,Belo Horizonte
162,5cfece41-d545-4e2e-af1e-ebaaf2738f24,Mairí
163,e0768117-d684-4c27-8055-25597cd44747,Inhumas
164,94a05e00-8159-400a-aa6b-0a376ba912d7,Ibotirama
165,39ea44a7-7172-4d44-8e51-d9f20e82f010,Porto Alegre
166,74a1ddef-6118-4c9d-9474-471f446448e2,Irecê - Ba
167,0d7e9e10-56c8-4c5c-b604-84039ca1dbb8,Lins
168,b2ec90d7-7d9b-4a7e-bd08-cf2ceb5383cf,Havana
169,9e5db02a-9f73-434a-87bd-2fac97d8e983,Pau Dos Ferros
170,90f87b54-c217-4538-961a-2a077b493dbb,Tucano
171,1d5ca3cc-378d-4f75-9cec-411447c7857e,Nova Iguaçu
172,6c387cde-5a57-4c97-9bc0-12f137f2b474,Americana
173,f304b2bd-a462-4c12-9d29-b6a9a89e5f6a,Salvador -Ba
174,c6ef215c-81c9-4538-bed0-6d886d8dd047,Osasco
175,2ae87ee6-3cb5-4a0f-95d0-784a0034e6fb,Cachoeira
176,f8565dfb-bf4a-4b9b-b99c-172106b7e07f,Pojuca
177,2c8a4815-ad2e-443f-a721-462dbc69987f,Belo Campo
178,93910f57-1dea-472c-9a4f-4e2ec4020f78,Brotas De Macaúbas
179,52951ebf-4a9c-41c4-a729-89512868144b,Rio Do Antônio
180,8f274180-8eed-4bf9-b6c6-e01a00b5797e,Caetité
181,db502cac-3de8-4c59-8048-0cf4688cf429,Caruaru
182,996d3fb5-d919-44f2-8ed0-1a3b1e20a29e,Divinópolis
183,69616588-ce34-4c9c-bfd3-a8188f84fffb,Ponte Nova
184,bd43e85a-e395-4e31-addd-d23c666b6973,Magé
185,a4cf566d-8dde-4884-8e87-ac4b6f82e65a,Itajuípe
186,621d9d0f-81c9-4c4d-aec7-d0c067487cd0,Rio Grande
187,6889b6c9-fb0b-444b-811a-1bccc23a8566,Sete Lagoas
188,5722b53a-8c32-48aa-a3e0-eaeffd8b9caf,Juazeiro Do Norte
189,b831c4a5-4e95-4030-ae32-9f747f1313bb,Nanuque
190,8189f5dd-3ef6-4f33-b1af-89dfd9905eed,Mossoró
191,4f637ca6-5a82-4c39-8955-1fed39f6755e,Tabuna
192,e802ab34-f0a4-4f0f-9b8d-5a704f29bfa4,Santo Antonio De Padua
193,ac82fc54-29fe-4288-a5d7-70a4325e5159,Patos
194,6aae8fa3-e5af-4568-8d2f-5f55e3540574,Bauru
195,ae7326ef-5d39-43e4-b5af-1deafbf454e6,Toledo
196,aaae5d17-666b-4498-98d7-678a157ffad7,Ituberá
197,378f08ba-0ec9-4321-b6c8-2c0e7fbfcb94,Muritiba
